id,furne-id,titre,année,genre,groupe3,groupe2,groupe1,publication,auteur
Avant-propos,furne-01,Avant-propos,1842,préface,-néant-,-néant-,-néant-,au-vivant,Balzac
La-maison-du-chat-qui-pelote,furne-02,La Maison du chat-qui-pelote,1830,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Le-bal-de-Sceaux,furne-03,Le Bal de Sceaux,1830,nouvelle,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-bourse,furne-04,La Bourse,1832,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-vendetta,furne-05,La Vendetta,1842,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Madame-Firmiani,furne-06,Madame Firmiani,1832,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Une-double-famille,furne-07,Une double famille,1830,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-paix-du-menage,furne-08,La Paix du ménage,1830,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-fausse-maitresse,furne-09,La Fausse Maîtresse,1842,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Etude-de-femme,furne-10,Étude de femme,1831,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Albert-Savarus,furne-11,Albert Savarus,1842,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Deux-jeunes-mariees,furne-12,Mémoires de deux jeunes mariées,1842,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Une-fille-d'Eve,furne-13,Une fille d'Ève,1839,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-femme-abandonnee,furne-14,La Femme abandonnée,1833,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-Grenadiere,furne-15,La Grenadière,1832,nouvelle,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Le-message,furne-16,Le Message,1833,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Gobseck,furne-17,Gobseck,1830,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Autre-etude-de-femme,furne-18,Autre étude de femme (La Grande Bretèche),1842,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-femme-de-trente-ans,furne-19,La Femme de trente ans,1834,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Le-contrat-de-mariage,furne-20,Le Contrat de mariage,1835,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
Beatrix,furne-21,Béatrix,1839,roman,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
La-grande-Breteche,furne-22,La Grande Bretèche,1831,nouvelle,-néant-,Scènes de la vie privée,Études de mœurs,au-vivant,Balzac
